ISO3,COUNTRY,ADM_NAME,year,month,temp_c,pet_mm,soil_0_7cm,soil_7_28cm,data_status,lat_wgs84,lon_wgs84
ETH,Ethiopia,Kelem Wellega,2012,10,20.521784012273308,183.45995273279425,0.4543302284078498,0.4609511341425873,original,975242.8784768393,35649.15365851755
ETH,Ethiopia,Mehakelegnaw,2012,10,19.331412198947472,234.59927109174285,0.1532215905099012,0.2279142948810085,original,1540791.2187320353,491809.79678931914
ETH,Ethiopia,Mirab Arsi,2012,10,14.42122595176646,178.12729360185617,0.3998139565416886,0.4150488092846641,original,779934.148437699,497832.64267631114
ETH,Ethiopia,Mirab Gojjam,2012,10,18.19042308316089,183.0075402858994,0.2748289266695571,0.3159615441861919,original,1244606.9300988333,305658.1265369256
ETH,Ethiopia,Mirab Hararghe,2012,10,21.07390631947473,212.709228427636,0.2605268064112823,0.2801158360633302,original,959821.8674397503,695425.1512868485
ETH,Ethiopia,Mirab Shewa,2012,10,17.166841965821845,222.751660090252,0.3166494084927084,0.3608468085552935,original,1012787.6426533792,374720.2339558294
ETH,Ethiopia,Mirab Welega,2012,10,19.53351679408476,189.88236576453684,0.4507516262304542,0.4587149270211397,original,1032697.9544891039,93189.34631555267
ETH,Ethiopia,Misraq Gojjam,2012,10,18.015617736317523,210.4740398958508,0.2773332902057908,0.3381142058134522,original,1162307.4901609693,382504.35478102614
ETH,Ethiopia,Misraq Harerge,2012,10,20.908214860273787,202.7695908923195,0.2538415006040635,0.2778452311885896,original,977116.6510985142,830176.1323061767
ETH,Ethiopia,Misraq Shewa,2012,10,20.10618411140164,260.0559243515545,0.2038232959652715,0.2515988031086242,original,941809.9861702574,516513.8849465026
ETH,Ethiopia,Misraq Wellega,2012,10,19.64729526745747,215.79894712397328,0.4082693564299072,0.4211680920457042,original,1039747.3867830498,238185.46961815926
ETH,Ethiopia,Misraqawi,2012,10,17.40350950282205,215.7469043548526,0.1660149722214357,0.2354233290525783,original,1557122.5327505618,561161.672201031
ETH,Ethiopia,North Shewa,2012,10,16.614571977697686,222.57944637092768,0.2640566084792226,0.3340632930413809,original,1077319.1297421285,519061.2007128659
ETH,Ethiopia,Semen Gondar,2012,10,21.859961984006667,209.18094991693823,0.2826397441811248,0.3408019954548865,original,1403688.5691285583,283385.27954423864
ETH,Ethiopia,Semen Wello,2012,10,16.962546312476015,217.25996447246987,0.2212066570583759,0.3005829695301736,original,1313128.4243678527,523400.57115138916
ETH,Ethiopia,Sidama,2012,10,16.241201317245523,231.59465772868705,0.4201177405655398,0.4256414751152965,original,736495.4309496412,448981.57327440515
ETH,Ethiopia,Silti,2012,10,17.228251074764913,281.5444872032508,0.3201279454297579,0.3772653916596771,original,860238.8301044789,413973.540730715
ETH,Ethiopia,Wag Himra,2012,10,20.1072011877146,237.9762535172431,0.1443371483315495,0.2169086291185454,original,1405454.9019432787,480362.52930550167
ETH,Ethiopia,Agew Awi,2012,11,19.81581653511373,165.92852567349465,0.356424830083575,0.3792255273860682,original,1237966.7252032289,237630.7306528011
ETH,Ethiopia,Alaba,2012,11,19.513525319794336,256.36028569103325,0.2132323856100645,0.2789351210395228,original,819281.7111043445,413070.2957213864
ETH,Ethiopia,Arsi,2012,11,16.19312210481393,234.78261094352493,0.3078869355029528,0.3332856827444189,original,877645.5697772538,574724.9062585309
ETH,Ethiopia,Bale,2012,11,19.98535015683589,183.30282381092823,0.3334713704202718,0.3636433690683934,original,747946.3065913733,681361.231348667
ETH,Ethiopia,Bench Maji,2012,11,22.29497964356913,266.2834112445664,0.4313917483301973,0.4297681500896638,original,701473.8482259716,114196.96727000308
ETH,Ethiopia,Borena,2012,11,21.753045746989308,196.6971631042104,0.31559357740424,0.3351699232680163,original,515172.1606803286,418016.61866877874
