ISO3,COUNTRY,ADM_NAME,year,month,spei_03,data_status,lat_wgs84,lon_wgs84
ETH,Ethiopia,Semen Gondar,2005,5,0.0110461444726511,original,1403688.5691285583,283385.27954423864
ETH,Ethiopia,Semen Wello,2005,5,0.3340535063096988,original,1313128.4243678527,523400.57115138916
ETH,Ethiopia,Sidama,2005,5,1.2501689253540291,original,736495.4309496412,448981.57327440515
ETH,Ethiopia,Silti,2005,5,1.0944561818066765,original,860238.8301044789,413973.540730715
ETH,Ethiopia,Wag Himra,2005,5,0.0957961828254652,original,1405454.9019432787,480362.52930550167
ETH,Ethiopia,Agew Awi,2005,6,-0.0530928546700496,original,1237966.7252032289,237630.7306528011
ETH,Ethiopia,Alaba,2005,6,0.9228092774952928,original,819281.7111043445,413070.2957213864
ETH,Ethiopia,Arsi,2005,6,0.9010185305313146,original,877645.5697772538,574724.9062585309
ETH,Ethiopia,Bale,2005,6,0.3909013601072205,original,747946.3065913733,681361.231348667
ETH,Ethiopia,Bench Maji,2005,6,-0.3781519217737947,original,701473.8482259716,114196.96727000308
ETH,Ethiopia,Borena,2005,6,0.3229661635802435,original,515172.1606803286,418016.61866877874
ETH,Ethiopia,Debub Gondar,2005,6,-0.1992164112140904,original,1298625.058155536,403618.6083826701
ETH,Ethiopia,Debub Mirab Shewa,2005,6,0.1248097956823788,original,951583.702996164,413642.13798491366
ETH,Ethiopia,Debub Omo,2005,6,-0.9324820491073672,original,594506.2145672034,208934.4131032283
ETH,Ethiopia,Debub Wollo,2005,6,0.2195491428540005,original,1211322.3946568086,521174.620529377
ETH,Ethiopia,Debubawi,2005,6,-0.511755405384921,original,1431751.9084497697,553121.0303109066
ETH,Ethiopia,Fafan,2005,6,0.270414431463557,original,1032469.6618888458,952209.2310375178
ETH,Ethiopia,Gamo Gofa,2005,6,-0.3754675720735636,original,691442.4764312886,300949.4333249477
ETH,Ethiopia,Guji,2005,6,0.6711338682642467,original,617143.6581352132,515541.0155111069
ETH,Ethiopia,Gurage,2005,6,0.7787466258457192,original,900983.5306617755,398032.32849572034
ETH,Ethiopia,Hadiya,2005,6,0.8374202079048342,original,830355.5261159564,362049.58761804504
ETH,Ethiopia,Horo Guduru,2005,6,0.0804961607525391,original,1073842.1136536016,303139.1779347765
ETH,Ethiopia,Ilubabor,2005,6,-0.2208038950967289,original,923454.0637086349,147288.1625894781
ETH,Ethiopia,Jimma,2005,6,0.7734812176090546,original,875746.526436117,259839.3932920487
ETH,Ethiopia,Keffa,2005,6,0.3454788334194233,original,799856.0187669549,177107.59706387814
ETH,Ethiopia,Kelem Wellega,2005,6,-0.5389845702052117,original,975242.8784768393,35649.15365851755
ETH,Ethiopia,Mehakelegnaw,2005,6,-0.2097641557252915,original,1540791.2187320353,491809.79678931914
ETH,Ethiopia,Mirab Arsi,2005,6,1.127464174777409,original,779934.148437699,497832.64267631114
ETH,Ethiopia,Mirab Gojjam,2005,6,-0.0050611981702312,original,1244606.9300988333,305658.1265369256
ETH,Ethiopia,Mirab Hararghe,2005,6,0.7433979520301024,original,959821.8674397503,695425.1512868485
ETH,Ethiopia,Mirab Shewa,2005,6,0.030689321841447,original,1012787.6426533792,374720.2339558294
ETH,Ethiopia,Mirab Welega,2005,6,-0.0517616609237852,original,1032697.9544891039,93189.34631555267
ETH,Ethiopia,Misraq Gojjam,2005,6,0.1729537748826706,original,1162307.4901609693,382504.35478102614
ETH,Ethiopia,Misraq Harerge,2005,6,0.4174418008285482,original,977116.6510985142,830176.1323061767
ETH,Ethiopia,Misraq Shewa,2005,6,0.5704920881716633,original,941809.9861702574,516513.8849465026
ETH,Ethiopia,Misraq Wellega,2005,6,0.3794232738927611,original,1039747.3867830498,238185.46961815926
ETH,Ethiopia,Misraqawi,2005,6,-0.3317881880276794,original,1557122.5327505618,561161.672201031
ETH,Ethiopia,North Shewa,2005,6,0.3976930990859211,original,1077319.1297421285,519061.2007128659
ETH,Ethiopia,Semen Gondar,2005,6,-0.3471920474239229,original,1403688.5691285583,283385.27954423864
ETH,Ethiopia,Semen Wello,2005,6,-0.180604137333208,original,1313128.4243678527,523400.57115138916
ETH,Ethiopia,Sidama,2005,6,1.161089597035892,original,736495.4309496412,448981.57327440515
ETH,Ethiopia,Silti,2005,6,0.8455558384166044,original,860238.8301044789,413973.540730715
